SCC ID#	TERMIN	GATA3	IFN-g	IFN-gR	IL-12	IL-12R	IL-4	IL-4R	SOCS1	STAT1	STAT4	STAT6	T-bet
0	T	1	1	1	0	0	0	1	1	1	0	1	0
0	T	1	1	1	0	0	0	1	1	1	0	1	1
0	T	1	1	1	0	0	1	1	1	1	0	1	1
0	T	1	1	1	0	0	1	1	1	1	0	1	0
0	T	1	1	1	0	0	0	0	1	1	0	1	0
0	T	1	1	1	0	0	1	0	1	1	0	1	0
0	T	0	1	1	0	0	1	0	1	1	0	1	1
0	T	1	1	1	0	0	1	0	1	1	0	1	1
0	T	1	1	1	0	0	0	0	1	1	0	1	1
0	T	0	1	1	0	0	0	0	1	1	0	1	1
0	T	0	1	1	0	0	0	1	1	1	0	1	1
0	T	0	1	1	0	0	1	1	1	1	0	1	1
4	T	1	1	1	1	1	1	0	1	1	0	1	0
4	T	1	1	1	1	1	0	0	1	1	0	1	0
4	T	1	1	1	1	1	0	0	1	1	0	1	1
4	T	0	1	1	1	1	0	0	1	1	0	1	1
4	T	0	1	1	1	0	0	0	1	1	0	1	1
4	T	1	1	1	1	0	0	0	1	1	0	1	1
4	T	1	1	1	1	0	0	0	1	1	0	1	0
4	T	1	1	1	1	0	1	0	1	1	0	1	0
4	T	1	1	1	1	0	1	0	1	1	0	1	1
4	T	0	1	1	1	0	1	0	1	1	0	1	1
4	T	0	1	1	1	1	1	0	1	1	0	1	1
4	T	1	1	1	1	1	1	0	1	1	0	1	1
4	T	1	1	1	1	1	1	0	1	1	1	1	1
4	T	1	1	1	1	1	1	0	1	1	1	1	0
4	T	1	1	1	1	1	0	0	1	1	1	1	0
4	T	1	1	1	1	1	0	0	1	1	1	1	1
4	T	0	1	1	1	1	0	0	1	1	1	1	1
4	T	0	1	1	1	0	0	0	1	1	1	1	1
4	T	1	1	1	1	0	0	0	1	1	1	1	1
4	T	1	1	1	1	0	0	0	1	1	1	1	0
4	T	1	1	1	1	0	1	0	1	1	1	1	0
4	T	1	1	1	1	0	1	0	1	1	1	1	1
4	T	0	1	1	1	0	1	0	1	1	1	1	1
4	T	0	1	1	1	1	1	0	1	1	1	1	1
4	T	0	1	1	1	1	1	1	1	1	1	1	1
4	T	1	1	1	1	1	1	1	1	1	1	1	1
4	T	1	1	1	1	1	1	1	1	1	1	1	0
4	T	1	1	1	1	1	1	1	1	1	0	1	0
4	T	1	1	1	1	1	1	1	1	1	0	1	1
4	T	0	1	1	1	1	1	1	1	1	0	1	1
4	T	0	1	1	1	0	1	1	1	1	0	1	1
4	T	1	1	1	1	0	1	1	1	1	0	1	1
4	T	1	1	1	1	0	1	1	1	1	0	1	0
4	T	1	1	1	1	0	0	1	1	1	0	1	0
4	T	1	1	1	1	1	0	1	1	1	0	1	0
4	T	1	1	1	1	1	0	1	1	1	0	1	1
4	T	0	1	1	1	1	0	1	1	1	0	1	1
4	T	0	1	1	1	0	0	1	1	1	0	1	1
4	T	1	1	1	1	0	0	1	1	1	0	1	1
4	T	1	1	1	1	0	0	1	1	1	1	1	1
4	T	1	1	1	1	0	0	1	1	1	1	1	0
4	T	1	1	1	1	1	0	1	1	1	1	1	0
4	T	1	1	1	1	1	0	1	1	1	1	1	1
4	T	0	1	1	1	1	0	1	1	1	1	1	1
4	T	0	1	1	1	0	0	1	1	1	1	1	1
4	T	0	1	1	1	0	1	1	1	1	1	1	1
4	T	1	1	1	1	0	1	1	1	1	1	1	1
4	T	1	1	1	1	0	1	1	1	1	1	1	0
67	T	0	1	1	0	1	0	0	1	1	1	0	1
199	T	0	1	1	1	1	0	0	1	1	1	0	1
248	T	0	1	1	0	0	0	0	1	1	1	0	1
255	T	0	1	1	0	0	0	0	1	1	0	0	1
275	T	1	0	0	0	0	1	0	1	0	0	1	0
275	T	1	0	0	0	0	1	1	1	0	0	1	0
868	T	1	0	0	0	0	1	1	0	0	0	1	0
1649	T	0	0	0	0	0	0	0	1	0	0	0	0
1875	T	0	0	0	0	0	0	0	0	0	0	0	0
